날짜,종가,전일비,시가,고가,저가,거래량
2023-08-31,66900,-200,67100,67200,66400,15964630
2023-08-30,67100,+300,67300,67700,67100,9181223
2023-08-29,66800,0,66900,67200,66600,9114352
2023-08-28,66800,-300,66800,67000,66500,5824628
2023-08-25,67100,-1100,67100,67400,66900,7032462
2023-08-24,68200,+1100,68300,68700,67900,15044463
2023-08-23,67100,+500,66700,67100,66400,9549352
2023-08-22,66600,0,67200,67700,66300,10500242
2023-08-21,66600,+300,66600,67100,66300,9720067
2023-08-18,66300,-400,66000,66700,65800,11745006
2023-08-17,66700,-300,66300,66800,66000,10778652
2023-08-16,67000,-300,66700,67100,66300,13174578
2023-08-14,67300,-200,67500,67900,66900,9352343
2023-08-11,67500,-500,68400,68800,67500,9781038
2023-08-10,68000,-900,68300,68500,67800,10227311
2023-08-09,68900,+1300,68000,69600,67900,17259673
2023-08-08,67600,-900,69000,69100,67400,14664709
2023-08-07,68500,+200,67700,69200,67600,10968505
2023-08-04,68300,-500,68800,69100,68200,12360193
2023-08-03,68800,-1100,69900,70200,68500,20087090
2023-08-02,69900,-1200,70700,71000,69800,13835020
2023-08-01,71100,+1300,70100,71200,70000,12299254
